"ReachDir" "MvmtTime" "Lat" "Trial" "Drift" "PostDrift" "Subj"
"1" -0.453 180.769 430.769 "1" "0" "0" "S21"
"2" -6.263 178.846 442.308 "2" "0" "0" "S21"
"3" 1.249 190.385 463.462 "3" "1" "0" "S21"
"4" -0.892 175.000 438.462 "4" "1" "0" "S21"
"5" 3.920 165.385 501.923 "5" "0" "1" "S21"
"6" -2.975 175.000 405.769 "6" "0" "1" "S21"
"7" -2.367 171.154 530.769 "1" "0" "0" "S22"
"8" -1.619 198.077 473.077 "2" "0" "0" "S22"
"9" -3.497 207.692 550.000 "3" "1" "0" "S22"
"10" 0.178 219.231 496.154 "4" "1" "0" "S22"
"11" -5.399 211.538 584.615 "5" "0" "1" "S22"
"12" -6.382 188.462 576.923 "6" "0" "1" "S22"
"13" -2.439 155.769 567.308 "1" "0" "0" "S23"
"14" -2.879 163.462 500.000 "2" "0" "0" "S23"
"15" -1.990 159.615 496.154 "3" "1" "0" "S23"
"16" -4.861 161.538 555.769 "4" "1" "0" "S23"
"17" -1.544 173.077 459.615 "5" "0" "1" "S23"
"18" -4.034 159.615 430.769 "6" "0" "1" "S23"
"19" 0.982 219.231 488.462 "1" "0" "0" "S24"
"20" -2.815 196.154 436.538 "2" "0" "0" "S24"
"21" -2.269 201.923 461.538 "3" "1" "0" "S24"
"22" -3.536 217.308 417.308 "4" "1" "0" "S24"
"23" -0.616 221.154 459.615 "5" "0" "1" "S24"
"24" 0.757 205.769 430.769 "6" "0" "1" "S24"
"25" -1.789 192.308 396.154 "1" "0" "0" "S25"
"26" -4.410 196.154 386.538 "2" "0" "0" "S25"
"27" -5.980 196.154 457.692 "3" "1" "0" "S25"
"28" -4.809 192.308 486.538 "4" "1" "0" "S25"
"29" -4.595 226.923 467.308 "5" "0" "1" "S25"
"30" -7.575 201.923 490.385 "6" "0" "1" "S25"
"31" -2.229 180.769 426.923 "1" "0" "0" "S26"
"32" -0.288 171.154 396.154 "2" "0" "0" "S26"
"33" -2.546 159.615 473.077 "3" "1" "0" "S26"
"34" -2.832 157.692 448.077 "4" "1" "0" "S26"
"35" -1.212 159.615 476.923 "5" "0" "1" "S26"
"36" -3.759 144.231 513.462 "6" "0" "1" "S26"
"37" -1.394 176.923 496.154 "1" "0" "0" "S27"
"38" -5.140 159.615 500.000 "2" "0" "0" "S27"
"39" -4.886 173.077 550.000 "3" "1" "0" "S27"
"40" -7.707 159.615 484.615 "4" "1" "0" "S27"
"41" -3.994 171.154 501.923 "5" "0" "1" "S27"
"42" -6.671 186.538 482.692 "6" "0" "1" "S27"
"43" -5.314 205.769 396.154 "1" "0" "0" "S28"
"44" -5.446 205.769 394.231 "2" "0" "0" "S28"
"45" -4.047 153.846 380.769 "3" "1" "0" "S28"
"46" -2.548 142.308 376.923 "4" "1" "0" "S28"
"47" -3.044 142.308 407.692 "5" "0" "1" "S28"
"48" -4.554 142.308 415.385 "6" "0" "1" "S28"
"49" -0.616 146.154 446.154 "1" "0" "0" "S29"
"50" 0.584 148.077 501.923 "2" "0" "0" "S29"
"51" -0.708 165.385 573.077 "3" "1" "0" "S29"
"52" -3.338 207.692 507.692 "4" "1" "0" "S29"
"53" -2.645 151.923 507.692 "5" "0" "1" "S29"
"54" -3.688 184.615 480.769 "6" "0" "1" "S29"
"55" -4.200 171.154 525.000 "1" "0" "0" "S30"
"56" -2.324 155.769 496.154 "2" "0" "0" "S30"
"57" -1.005 176.923 432.692 "3" "1" "0" "S30"
"58" -4.252 175.000 457.692 "4" "1" "0" "S30"
"59" 1.313 165.385 592.308 "5" "0" "1" "S30"
"60" -5.601 161.538 507.692 "6" "0" "1" "S30"
"61" -1.976 188.462 517.308 "1" "0" "0" "S31"
"62" -2.753 171.154 444.231 "2" "0" "0" "S31"
"63" -4.463 173.077 573.077 "3" "1" "0" "S31"
"64" -7.395 163.462 475.000 "4" "1" "0" "S31"
"65" -4.258 175.000 453.846 "5" "0" "1" "S31"
"66" -8.780 171.154 415.385 "6" "0" "1" "S31"
"67" -8.848 182.692 407.692 "1" "0" "0" "S32"
"68" -1.076 192.308 351.923 "2" "0" "0" "S32"
"69" -7.095 171.154 378.846 "3" "1" "0" "S32"
"70" -11.751 176.923 359.615 "4" "1" "0" "S32"
"71" -8.742 186.538 423.077 "5" "0" "1" "S32"
"72" -11.154 196.154 357.692 "6" "0" "1" "S32"
"73" -3.738 180.769 415.385 "1" "0" "0" "S33"
"74" 1.227 184.615 415.385 "2" "0" "0" "S33"
"75" -0.947 184.615 448.077 "3" "1" "0" "S33"
"76" -3.567 198.077 403.846 "4" "1" "0" "S33"
"77" -2.164 197.436 417.949 "5" "0" "1" "S33"
"78" -0.065 184.615 436.538 "6" "0" "1" "S33"
"79" -1.595 186.538 501.923 "1" "0" "0" "S34"
"80" -4.011 236.538 498.077 "2" "0" "0" "S34"
"81" -1.758 209.615 465.385 "3" "1" "0" "S34"
"82" -2.696 232.692 482.692 "4" "1" "0" "S34"
"83" -4.438 198.077 586.538 "5" "0" "1" "S34"
"84" -5.442 217.308 509.615 "6" "0" "1" "S34"
