"ReachDir" "MvmtTime" "Lat" "Trial" "Drift" "PostDrift" "Subj"
"1" -4.887 244.231 440.385 "1" "0" "0" "S1"
"2" -3.638 186.538 384.615 "2" "0" "0" "S1"
"3" -1.202 203.846 436.538 "3" "1" "0" "S1"
"4" -2.732 207.692 444.231 "4" "1" "0" "S1"
"5" -3.905 234.615 426.923 "5" "0" "1" "S1"
"6" -2.444 209.615 455.769 "6" "0" "1" "S1"
"7" 0.406 226.923 367.308 "1" "0" "0" "S2"
"8" -2.158 205.769 361.538 "2" "0" "0" "S2"
"9" 5.183 225.000 426.923 "3" "1" "0" "S2"
"10" -2.887 205.769 415.385 "4" "1" "0" "S2"
"11" 4.994 232.692 423.077 "5" "0" "1" "S2"
"12" -3.916 253.846 434.615 "6" "0" "1" "S2"
"13" -1.046 240.385 584.615 "1" "0" "0" "S3"
"14" -12.368 203.846 1882.692 "2" "0" "0" "S3"
"15" -6.639 325.000 667.308 "3" "1" "0" "S3"
"16" -6.336 334.615 500.000 "4" "1" "0" "S3"
"17" -5.113 280.769 592.308 "5" "0" "1" "S3"
"18" -4.463 225.000 544.231 "6" "0" "1" "S3"
"19" -5.765 171.154 375.000 "1" "0" "0" "S4"
"20" -10.584 178.846 380.769 "2" "0" "0" "S4"
"21" -14.517 175.000 444.231 "3" "1" "0" "S4"
"22" -14.429 188.462 432.692 "4" "1" "0" "S4"
"23" -15.723 203.846 409.615 "5" "0" "1" "S4"
"24" -14.838 207.692 425.000 "6" "0" "1" "S4"
"25" -2.489 240.385 428.846 "1" "0" "0" "S5"
"26" -1.444 211.538 417.308 "2" "0" "0" "S5"
"27" -11.121 192.308 546.154 "3" "1" "0" "S5"
"28" -7.528 263.462 444.231 "4" "1" "0" "S5"
"29" -3.527 213.462 513.462 "5" "0" "1" "S5"
"30" -5.294 253.846 455.769 "6" "0" "1" "S5"
"31" -1.900 198.077 384.615 "1" "0" "0" "S6"
"32" -9.111 178.846 359.615 "2" "0" "0" "S6"
"33" -11.859 180.769 400.000 "3" "1" "0" "S6"
"34" -12.769 184.615 390.385 "4" "1" "0" "S6"
"35" -9.155 217.308 400.000 "5" "0" "1" "S6"
"36" -10.913 198.077 417.308 "6" "0" "1" "S6"
"37" -1.884 182.692 434.615 "1" "0" "0" "S7"
"38" -5.224 190.385 396.154 "2" "0" "0" "S7"
"39" -13.067 171.154 451.923 "3" "1" "0" "S7"
"40" -13.470 192.308 398.077 "4" "1" "0" "S7"
"41" -6.242 203.846 409.615 "5" "0" "1" "S7"
"42" -7.952 205.769 390.385 "6" "0" "1" "S7"
"43" -3.334 203.846 492.308 "1" "0" "0" "S8"
"44" -5.668 219.231 438.462 "2" "0" "0" "S8"
"45" -11.332 176.923 440.385 "3" "1" "0" "S8"
"46" -9.152 175.000 434.615 "4" "1" "0" "S8"
"47" -9.848 165.385 484.615 "5" "0" "1" "S8"
"48" -7.271 165.385 419.231 "6" "0" "1" "S8"
"49" -7.748 173.077 415.385 "1" "0" "0" "S9"
"50" 0.342 176.923 415.385 "2" "0" "0" "S9"
"51" -7.439 188.462 446.154 "3" "1" "0" "S9"
"52" -13.348 211.538 407.692 "4" "1" "0" "S9"
"53" -10.264 188.462 396.154 "5" "0" "1" "S9"
"54" -12.602 167.308 334.615 "6" "0" "1" "S9"
"55" -3.557 175.000 588.462 "1" "0" "0" "S10"
"56" -1.196 140.385 523.077 "2" "0" "0" "S10"
"57" -4.511 148.077 540.385 "3" "1" "0" "S10"
"58" -5.606 151.923 509.615 "4" "1" "0" "S10"
"59" -3.945 176.923 551.923 "5" "0" "1" "S10"
"60" -7.200 151.923 476.923 "6" "0" "1" "S10"
"61" -1.678 159.615 450.000 "1" "0" "0" "S11"
"62" -4.683 167.308 417.308 "2" "0" "0" "S11"
"63" -5.069 155.769 536.538 "3" "1" "0" "S11"
"64" -3.603 157.692 607.692 "4" "1" "0" "S11"
"65" -1.945 163.462 611.538 "5" "0" "1" "S11"
"66" -0.553 173.077 573.077 "6" "0" "1" "S11"
"67" -4.426 163.462 396.154 "1" "0" "0" "S12"
"68" -4.190 176.923 389.744 "2" "0" "0" "S12"
"69" -8.029 159.615 403.846 "3" "1" "0" "S12"
"70" -8.682 165.385 361.538 "4" "1" "0" "S12"
"71" -9.757 153.846 380.769 "5" "0" "1" "S12"
"72" -9.109 165.385 376.923 "6" "0" "1" "S12"
"73" -4.082 159.615 388.462 "1" "0" "0" "S13"
"74" -5.324 173.077 344.231 "2" "0" "0" "S13"
"75" -8.609 161.538 373.077 "3" "1" "0" "S13"
"76" -6.896 146.154 355.769 "4" "1" "0" "S13"
"77" -5.214 188.462 398.077 "5" "0" "1" "S13"
"78" -9.993 236.538 342.308 "6" "0" "1" "S13"
"79" -4.478 201.923 438.462 "1" "0" "0" "S14"
"80" -4.485 226.923 413.462 "2" "0" "0" "S14"
"81" -9.656 192.308 434.615 "3" "1" "0" "S14"
"82" -13.266 200.000 401.923 "4" "1" "0" "S14"
"83" -10.888 203.846 490.385 "5" "0" "1" "S14"
"84" -7.158 217.308 448.077 "6" "0" "1" "S14"
"85" -3.045 284.615 434.615 "1" "0" "0" "S15"
"86" -5.589 194.231 426.923 "2" "0" "0" "S15"
"87" -12.016 180.769 475.000 "3" "1" "0" "S15"
"88" -6.651 226.923 780.769 "4" "1" "0" "S15"
"89" -11.587 223.077 615.385 "5" "0" "1" "S15"
"90" -9.945 236.538 530.769 "6" "0" "1" "S15"
