"ReachDir" "MvmtTime" "Lat" "Trial" "Base" "Adapt" "Drift" "PostDrift" "Washout" "Subj"
"1" -2.219 190.385 361.538 "1" "1" "0" "0" "0" "0" "S21"
"2" 2.054 209.615 365.385 "2" "1" "0" "0" "0" "0" "S21"
"3" -45.390 178.846 775.000 "3" "0" "1" "0" "0" "0" "S21"
"4" -43.521 201.923 657.692 "4" "0" "1" "0" "0" "0" "S21"
"5" -46.622 180.769 725.000 "5" "0" "0" "1" "0" "0" "S21"
"6" -45.525 169.231 742.308 "6" "0" "0" "1" "0" "0" "S21"
"7" -44.544 200.000 723.077 "7" "0" "0" "0" "1" "0" "S21"
"8" -44.700 178.846 736.538 "8" "0" "0" "0" "1" "0" "S21"
"9" -4.912 215.385 428.846 "9" "0" "0" "0" "0" "1" "S21"
"10" -6.050 192.308 423.077 "10" "0" "0" "0" "0" "1" "S21"
"11" -2.706 226.923 384.615 "1" "1" "0" "0" "0" "0" "S22"
"12" -0.644 203.846 369.231 "2" "1" "0" "0" "0" "0" "S22"
"13" -50.207 182.692 838.462 "3" "0" "1" "0" "0" "0" "S22"
"14" -70.437 194.872 656.410 "4" "0" "1" "0" "0" "0" "S22"
"15" -38.389 148.077 988.462 "5" "0" "0" "1" "0" "0" "S22"
"16" -42.682 169.231 1026.923 "6" "0" "0" "1" "0" "0" "S22"
"17" -58.499 169.231 784.615 "7" "0" "0" "0" "1" "0" "S22"
"18" -49.098 176.923 746.154 "8" "0" "0" "0" "1" "0" "S22"
"19" -3.365 207.692 575.000 "9" "0" "0" "0" "0" "1" "S22"
"20" -5.521 207.692 580.769 "10" "0" "0" "0" "0" "1" "S22"
"21" -3.118 182.692 388.462 "1" "1" "0" "0" "0" "0" "S23"
"22" -2.588 184.615 403.846 "2" "1" "0" "0" "0" "0" "S23"
"23" -45.697 157.692 736.538 "3" "0" "1" "0" "0" "0" "S23"
"24" -46.717 175.000 694.231 "4" "0" "1" "0" "0" "0" "S23"
"25" -47.935 167.308 590.385 "5" "0" "0" "1" "0" "0" "S23"
"26" -43.764 180.769 761.538 "6" "0" "0" "1" "0" "0" "S23"
"27" -47.300 189.744 676.923 "7" "0" "0" "0" "1" "0" "S23"
"28" -46.575 192.308 571.154 "8" "0" "0" "0" "1" "0" "S23"
"29" -0.591 165.385 453.846 "9" "0" "0" "0" "0" "1" "S23"
"30" 0.033 186.538 401.923 "10" "0" "0" "0" "0" "1" "S23"
"31" -0.266 203.846 378.846 "1" "1" "0" "0" "0" "0" "S24"
"32" -0.399 201.923 382.692 "2" "1" "0" "0" "0" "0" "S24"
"33" -45.165 175.000 534.615 "3" "0" "1" "0" "0" "0" "S24"
"34" -46.912 176.923 553.846 "4" "0" "1" "0" "0" "0" "S24"
"35" -45.436 167.308 511.538 "5" "0" "0" "1" "0" "0" "S24"
"36" -46.596 176.923 519.231 "6" "0" "0" "1" "0" "0" "S24"
"37" -43.340 190.385 498.077 "7" "0" "0" "0" "1" "0" "S24"
"38" -45.917 186.538 475.000 "8" "0" "0" "0" "1" "0" "S24"
"39" -2.786 223.077 426.923 "9" "0" "0" "0" "0" "1" "S24"
"40" -3.792 242.308 413.462 "10" "0" "0" "0" "0" "1" "S24"
"41" 2.840 207.692 398.077 "1" "1" "0" "0" "0" "0" "S25"
"42" -0.603 213.462 378.846 "2" "1" "0" "0" "0" "0" "S25"
"43" -43.211 205.128 564.103 "3" "0" "1" "0" "0" "0" "S25"
"44" -76.307 187.179 453.846 "4" "0" "1" "0" "0" "0" "S25"
"45" -47.263 169.231 705.128 "5" "0" "0" "1" "0" "0" "S25"
"46" -44.576 184.615 642.308 "6" "0" "0" "1" "0" "0" "S25"
"47" -49.406 190.385 644.231 "7" "0" "0" "0" "1" "0" "S25"
"48" -45.544 194.872 766.667 "8" "0" "0" "0" "1" "0" "S25"
"49" -7.620 188.462 436.538 "9" "0" "0" "0" "0" "1" "S25"
"50" -6.627 194.231 419.231 "10" "0" "0" "0" "0" "1" "S25"
"51" -0.432 159.615 375.000 "1" "1" "0" "0" "0" "0" "S26"
"52" 1.654 169.231 353.846 "2" "1" "0" "0" "0" "0" "S26"
"53" -45.454 163.462 471.154 "3" "0" "1" "0" "0" "0" "S26"
"54" -48.143 187.179 571.795 "4" "0" "1" "0" "0" "0" "S26"
"55" -46.181 153.846 696.154 "5" "0" "0" "1" "0" "0" "S26"
"56" -43.705 159.615 703.846 "6" "0" "0" "1" "0" "0" "S26"
"57" -43.585 169.231 673.077 "7" "0" "0" "0" "1" "0" "S26"
"58" -45.126 166.667 764.103 "8" "0" "0" "0" "1" "0" "S26"
"59" -1.695 175.000 459.615 "9" "0" "0" "0" "0" "1" "S26"
"60" -0.636 163.462 403.846 "10" "0" "0" "0" "0" "1" "S26"
"61" 0.816 190.385 501.923 "1" "1" "0" "0" "0" "0" "S27"
"62" -0.391 165.385 478.846 "2" "1" "0" "0" "0" "0" "S27"
"63" -45.136 225.000 573.077 "3" "0" "1" "0" "0" "0" "S27"
"64" -50.730 196.154 559.615 "4" "0" "1" "0" "0" "0" "S27"
"65" -39.006 167.308 630.769 "5" "0" "0" "1" "0" "0" "S27"
"66" -48.755 165.385 632.692 "6" "0" "0" "1" "0" "0" "S27"
"67" -48.468 184.615 520.513 "7" "0" "0" "0" "1" "0" "S27"
"68" -47.751 171.154 542.308 "8" "0" "0" "0" "1" "0" "S27"
"69" -6.258 176.923 471.154 "9" "0" "0" "0" "0" "1" "S27"
"70" -3.826 163.462 478.846 "10" "0" "0" "0" "0" "1" "S27"
"71" 0.716 163.462 378.846 "1" "1" "0" "0" "0" "0" "S28"
"72" 1.458 161.538 382.692 "2" "1" "0" "0" "0" "0" "S28"
"73" -49.913 205.128 435.897 "3" "0" "1" "0" "0" "0" "S28"
"74" -55.840 244.231 463.462 "4" "0" "1" "0" "0" "0" "S28"
"75" -52.570 178.846 471.154 "5" "0" "0" "1" "0" "0" "S28"
"76" -51.253 142.308 448.077 "6" "0" "0" "1" "0" "0" "S28"
"77" -49.620 180.769 561.538 "7" "0" "0" "0" "1" "0" "S28"
"78" -51.751 169.231 525.000 "8" "0" "0" "0" "1" "0" "S28"
"79" -2.894 182.692 434.615 "9" "0" "0" "0" "0" "1" "S28"
"80" -3.775 151.923 432.692 "10" "0" "0" "0" "0" "1" "S28"
"81" 1.818 175.000 450.000 "1" "1" "0" "0" "0" "0" "S29"
"82" 0.607 161.538 392.308 "2" "1" "0" "0" "0" "0" "S29"
"83" -49.367 171.154 694.231 "3" "0" "1" "0" "0" "0" "S29"
"84" -50.742 167.308 673.077 "4" "0" "1" "0" "0" "0" "S29"
"85" -48.046 169.231 671.154 "5" "0" "0" "1" "0" "0" "S29"
"86" -46.578 192.308 678.846 "6" "0" "0" "1" "0" "0" "S29"
"87" -44.035 175.000 692.308 "7" "0" "0" "0" "1" "0" "S29"
"88" -46.120 176.923 626.923 "8" "0" "0" "0" "1" "0" "S29"
"89" -3.730 157.692 490.385 "9" "0" "0" "0" "0" "1" "S29"
"90" -2.323 167.308 473.077 "10" "0" "0" "0" "0" "1" "S29"
"91" -0.028 163.462 494.231 "1" "1" "0" "0" "0" "0" "S30"
"92" -2.557 169.231 392.308 "2" "1" "0" "0" "0" "0" "S30"
"93" -47.536 151.923 898.077 "3" "0" "1" "0" "0" "0" "S30"
"94" -51.449 136.538 750.000 "4" "0" "1" "0" "0" "0" "S30"
"95" -45.653 148.077 1069.231 "5" "0" "0" "1" "0" "0" "S30"
"96" -42.626 180.769 680.769 "6" "0" "0" "1" "0" "0" "S30"
"97" -37.782 161.538 811.538 "7" "0" "0" "0" "1" "0" "S30"
"98" -43.130 161.538 901.923 "8" "0" "0" "0" "1" "0" "S30"
"99" -5.004 171.154 655.769 "9" "0" "0" "0" "0" "1" "S30"
"100" -3.332 186.538 446.154 "10" "0" "0" "0" "0" "1" "S30"
