"ReachDir" "MvmtTime" "Lat" "Trial" "Base" "Adapt" "Drift" "PostDrift" "Washout" "Subj"
"1" -0.022 184.615 388.462 "1" "1" "0" "0" "0" "0" "S1"
"2" 1.499 184.615 365.385 "2" "1" "0" "0" "0" "0" "S1"
"3" -51.268 203.846 513.462 "3" "0" "1" "0" "0" "0" "S1"
"4" -52.794 223.077 511.538 "4" "0" "1" "0" "0" "0" "S1"
"5" -47.848 155.769 548.077 "5" "0" "0" "1" "0" "0" "S1"
"6" -51.337 161.538 548.718 "6" "0" "0" "1" "0" "0" "S1"
"7" -42.309 226.923 515.385 "7" "0" "0" "0" "1" "0" "S1"
"8" -53.032 205.769 490.385 "8" "0" "0" "0" "1" "0" "S1"
"9" -3.339 198.077 405.769 "9" "0" "0" "0" "0" "1" "S1"
"10" -0.912 209.615 411.538 "10" "0" "0" "0" "0" "1" "S1"
"11" 2.835 205.769 332.692 "1" "1" "0" "0" "0" "0" "S2"
"12" 2.230 203.846 338.462 "2" "1" "0" "0" "0" "0" "S2"
"13" -45.239 192.308 426.923 "3" "0" "1" "0" "0" "0" "S2"
"14" -44.099 219.231 442.308 "4" "0" "1" "0" "0" "0" "S2"
"15" -41.347 210.256 479.487 "5" "0" "0" "1" "0" "0" "S2"
"16" -44.395 194.231 494.231 "6" "0" "0" "1" "0" "0" "S2"
"17" -40.603 189.744 502.564 "7" "0" "0" "0" "1" "0" "S2"
"18" -44.827 211.538 450.000 "8" "0" "0" "0" "1" "0" "S2"
"19" -3.155 242.308 386.538 "9" "0" "0" "0" "0" "1" "S2"
"20" -1.657 213.462 390.385 "10" "0" "0" "0" "0" "1" "S2"
"21" 1.509 225.000 371.154 "1" "1" "0" "0" "0" "0" "S3"
"22" -4.514 203.846 388.462 "2" "1" "0" "0" "0" "0" "S3"
"23" -49.056 226.923 857.692 "3" "0" "1" "0" "0" "0" "S3"
"24" -47.771 221.154 1073.077 "4" "0" "1" "0" "0" "0" "S3"
"25" -59.972 171.154 2094.231 "5" "0" "0" "1" "0" "0" "S3"
"26" -54.275 217.308 2757.692 "6" "0" "0" "1" "0" "0" "S3"
"27" -49.910 198.077 840.385 "7" "0" "0" "0" "1" "0" "S3"
"28" -49.116 184.615 913.462 "8" "0" "0" "0" "1" "0" "S3"
"29" -5.980 255.769 550.000 "9" "0" "0" "0" "0" "1" "S3"
"30" -5.170 201.923 561.538 "10" "0" "0" "0" "0" "1" "S3"
"31" 1.901 253.846 357.692 "1" "1" "0" "0" "0" "0" "S4"
